Area Code,Area Name,Count,Denominator,Indicator ID,Lower CI 95.0 limit,Lower CI 99.8 limit,Parent Code,Upper CI 95.0 limit,Upper CI 99.8 limit,Value
E92000001,England,526255.0,8038825.0,90933,6.52933942868512,6.51951007324407,E92000001,6.56353594180008,6.57342700675212,6.54641692038326
E06000051,Shropshire,2711.14,315232.0,93769,695.0231119,679.7747385,E92000001,749.934146,766.2041016,722.0887108
E06000053,Isles of Scilly,115.0,2326.0,90933,4.120452043,3.725033388,E92000001,5.880228437,6.50810431,4.94411006
E09000022,Lambeth,1410.36,160070.0,93769,1754.392289,1696.941848,E92000001,1964.352523,2027.213988,1857.30421
E06000021,Stoke-on-Trent,1845.78,128756.0,93769,1704.653172,1658.240325,E92000001,1873.146207,1923.356342,1787.449217
E08000016,Barnsley,16433.0,247291.0,90933,6.547649722,6.492100414,E92000001,6.743771888,6.801440608,6.645207468
E92000001,England,164311.0,4008460.0,258,4.07973980263124,4.06861199194424,nan,4.11855895860253,4.12981749528412,4.09910539209572
E08000026,Coventry,402.01,171428.0,93769,252.4654173,237.931106,E92000001,308.1391486,325.3529995,279.2735832
E10000029,Suffolk,5567.18,373261.0,93769,1330.870301,1310.508054,E92000001,1403.362024,1424.666053,1366.757098
E06000066,Somerset UA,20735.0,482425.0,258,4.241143614,4.208757441,E92000001,4.355564633,4.389092784,4.298077421
E92000001,England,53055.7,7707137.0,93769,769.068044,765.2812387,nan,782.3124705,786.1550694,775.6690219
E92000001,England,49405.0899999999,6311810.0,93769,775.031724627034,771.074688682615,E92000001,788.875783748286,792.893254550211,781.930751705259
E06000042,Milton Keynes,5642.0,221016.4915,258,2.487780164,2.45106865,E92000001,2.618989811,2.658284053,2.552750685
E08000010,Wigan,12590.0,263627.0,258,4.694822477,4.649013963,E92000001,4.857550023,4.905427575,4.775686861
E92000001,England,25456.72,2200662.0,93769,1260.420175,1251.432714,nan,1291.972268,1301.151575,1276.123178
E06000005,Darlington,781.69,106541.0,93769,673.5137242,645.9515505,E92000001,776.1070822,807.216747,723.4521309
E09000022,Lambeth,1199.0,159863.0,93769,1571.080679,1515.716408,E92000001,1774.329272,1835.373001,1670.533251
E06000049,Cheshire East,484.33,197065.0,93769,193.0787386,182.9417812,E92000001,231.5581019,243.3833185,211.6708275
E92000001,England,69418.87,8566809.0,93769,747.063428116157,743.841770887097,E92000001,758.319264995755,761.582377724546,752.675570032783
